year_month,product,price,category
202111,葱头,2.66,蔬菜
202111,大白菜,2.51,蔬菜
202111,土豆,2.39,蔬菜
202112,芹菜,4.72,蔬菜
202112,西红柿,5.82,蔬菜
202112,豆角,9.04,蔬菜
202112,白萝卜,2.15,蔬菜
202112,茄子,5.61,蔬菜
202112,胡萝卜,3.35,蔬菜
202112,黄瓜,5.87,蔬菜
202112,莴笋,3.66,蔬菜
202112,青椒,6.16,蔬菜
202112,菜花,6.21,蔬菜
202112,生姜,6.18,蔬菜
202112,香菇,10.93,蔬菜
202112,蒜苔,8.61,蔬菜
202112,平菇,6.63,蔬菜
202112,大葱,5.54,蔬菜
202112,韭菜,6.50,蔬菜
202112,西葫芦,4.04,蔬菜
202112,洋白菜,3.06,蔬菜
202112,油菜,3.85,蔬菜
202112,菠菜,6.07,蔬菜
202112,冬瓜,2.66,蔬菜
202112,大蒜,7.91,蔬菜
202112,生菜,5.35,蔬菜
202112,莲藕,6.42,蔬菜
202112,南瓜,2.95,蔬菜
202112,葱头,2.59,蔬菜
202112,大白菜,2.07,蔬菜
202112,土豆,2.38,蔬菜
202201,芹菜,4.09,蔬菜
202201,西红柿,8.15,蔬菜
202201,豆角,9.99,蔬菜
202201,白萝卜,1.89,蔬菜
202201,茄子,5.99,蔬菜
202201,胡萝卜,3.44,蔬菜
202201,黄瓜,6.79,蔬菜
202201,莴笋,3.92,蔬菜
202201,青椒,6.48,蔬菜
202201,菜花,3.99,蔬菜
202201,生姜,5.80,蔬菜
202201,香菇,11.12,蔬菜
202201,蒜苔,8.91,蔬菜
202201,平菇,6.88,蔬菜
202201,大葱,5.71,蔬菜
202201,韭菜,6.29,蔬菜
202201,西葫芦,4.09,蔬菜
202201,洋白菜,2.63,蔬菜
202201,油菜,3.50,蔬菜
202201,菠菜,5.50,蔬菜
202201,冬瓜,2.84,蔬菜
202201,大蒜,7.70,蔬菜
202201,生菜,4.70,蔬菜
202201,莲藕,6.88,蔬菜
202201,南瓜,3.18,蔬菜
202201,葱头,2.44,蔬菜
202201,大白菜,1.96,蔬菜
202201,土豆,2.32,蔬菜
202202,芹菜,4.44,蔬菜
202202,西红柿,7.72,蔬菜
202202,豆角,11.92,蔬菜
202202,白萝卜,1.80,蔬菜
202202,茄子,6.48,蔬菜
202202,胡萝卜,3.33,蔬菜
